Loaded plugins: fastestmirror, langpacks, presto, refresh-packagekit
Loading mirror speeds from cached hostfile
 * fedora: mirror.fdcservers.net
 * rpmfusion-free: mirror.us.leaseweb.net
 * rpmfusion-free-updates: mirror.us.leaseweb.net
 * rpmfusion-nonfree: mirror.us.leaseweb.net
 * rpmfusion-nonfree-updates: mirror.us.leaseweb.net
 * updates: www.gtlib.gatech.edu
Installed Packages
bluez-libs.i686                            4.96-3.fc16                  @koji-override-0/$releasever
boost-filesystem.i686                      1.47.0-7.fc16                @updates
boost-program-options.i686                 1.47.0-7.fc16                @updates
boost-system.i686                          1.47.0-7.fc16                @updates
boost-thread.i686                          1.47.0-7.fc16                @updates
brasero.i686                               3.2.0-1.fc16                 @koji-override-0/$releasever
brasero-libs.i686                          3.2.0-1.fc16                 @koji-override-0/$releasever
brasero-nautilus.i686                      3.2.0-1.fc16                 @koji-override-0/$releasever
brlapi.i686                                0.5.6-3.fc16                 @updates
brltty.i686                                4.3-3.fc16                   @updates
btparser.i686                              0.13-1.fc16                  @koji-override-0/$releasever
btrfs-progs.i686                           0.19-16.fc16                 @koji-override-0/$releasever
bzip2.i686                                 1.0.6-3.fc15                 @koji-override-0/$releasever
bzip2-libs.i686                            1.0.6-3.fc15                 @koji-override-0/$releasever
c-ares.i686                                1.7.4-3.fc16                 @koji-override-0/$releasever
c2050.i686                                 0.3b-4.fc15                  @koji-override-0/$releasever
c2070.i686                                 0.99-7.fc15                  @koji-override-0/$releasever
ca-certificates.noarch                     2011.78-1.fc16               @koji-override-0/$releasever
cairo.i686                                 1.10.2-4.fc16                @koji-override-0/$releasever
cairo-gobject.i686                         1.10.2-4.fc16                @koji-override-0/$releasever
cairomm.i686                               1.10.0-1.fc16                @koji-override-0/$releasever
caribou.i686                               0.4.1-3.fc16                 @updates
caribou-antler.i686                        0.4.1-3.fc16                 @updates
caribou-gtk2-module.i686                   0.4.1-3.fc16                 @updates
caribou-gtk3-module.i686                   0.4.1-3.fc16                 @updates
cdparanoia.i686                            10.2-10.fc15                 @koji-override-0/$releasever
cdparanoia-libs.i686                       10.2-10.fc15                 @koji-override-0/$releasever
cdrdao.i686                                1.2.3-11.fc16                @koji-override-0/$releasever
celt.i686                                  0.11.1-2.fc16                @koji-override-0/$releasever
celt051.i686                               0.5.1.3-3.fc15               @koji-override-0/$releasever
checkpolicy.i686                           2.1.6-2.fc16                 @updates
cheese.i686                                1:3.2.2-1.fc16               @updates
cheese-libs.i686                           1:3.2.2-1.fc16               @updates
chkconfig.i686                             1.3.59-1.fc16                @updates
chrony.i686                                1.26-5.20110831gitb088b7.fc16
                                                                        @updates
cifs-utils.i686                            5.5-2.fc16                   @updates
cjet.i686                                  0.8.9-10.fc15                @koji-override-0/$releasever
cjkuni-uming-fonts.noarch                  0.2.20080216.1-47.fc16       @koji-override-0/$releasever
cloog-ppl.i686                             0.15.11-1.fc16               @updates
clutter.i686                               1.8.4-2.fc16                 @updates
clutter-gst.i686                           1.4.4-1.fc16                 @updates
clutter-gtk.i686                           1.0.4-1.fc16                 @koji-override-0/$releasever
cogl.i686                                  1.8.2-2.fc16                 @koji-override-0/$releasever
color-filesystem.noarch                    1-8                          @koji-override-0/$releasever
colord.i686                                0.1.21-1.fc16                @updates
compat-readline5.i686                      5.2-18.fc15                  @fedora 
comps-extras.noarch                        20-2.fc15                    @koji-override-0/$releasever
control-center.i686                        1:3.2.3-1.fc16               @updates
control-center-filesystem.i686             1:3.2.3-1.fc16               @updates
coreutils.i686                             8.12-7.fc16                  @updates
coreutils-libs.i686                        8.12-7.fc16                  @updates
cpio.i686                                  2.11-4.fc16                  @koji-override-0/$releasever
cpp.i686                                   4.6.3-2.fc16                 @updates
cracklib.i686                              2.8.18-2.fc15                @koji-override-0/$releasever
cracklib-dicts.i686                        2.8.18-2.fc15                @koji-override-0/$releasever
cracklib-python.i686                       2.8.18-2.fc15                @koji-override-0/$releasever
